Source|Rate|1024
RBA rate |USD|0.671036364
RBA rate |CNY|4.758181818
RBA rate |JPY|100.3813636
RBA rate |EUR|0.615468182
RBA rate |KRW|912.93
RBA rate |GBP|0.513954545
RBA rate |SGD|0.878931818
RBA rate |INR|56.37636364
RBA rate |THB|22.39318182
RBA rate |NZD|1.102736364
RBA rate |TWD|21.52636364
RBA rate |MYR|2.885386364
RBA rate |IDR|10441.40909
RBA rate |VND|16816.04545
RBA rate |HKD|5.214177273
RBA rate |CAD|0.922645455
RBA rate |CHF|
RBA rate |PHP|38.55136364
RBA rate |SDR|0.501913636
XE Rate |AED|2.40529
XE Rate |ARS|650.324
XE Rate |BOB|4.53345
XE Rate |BWP|8.800913
XE Rate |BRL|3.79113
XE Rate |CHF|0.56925
XE Rate |CLP|632.527
XE Rate |COP|2903.37
XE Rate |CRC|336.332
XE Rate |MXN|13.1841
XE Rate |MYR|2.8757
XE Rate |PEN|2.47286
XE Rate |PYG|5237.72
XE Rate |QAR|2.39116
XE Rate |ZAR|11.5801
XE Rate |UYU|27.2315
Monthly Exch Rate |CAD|0.916791962
Monthly Exch Rate |EUR|0.604646101
Monthly Exch Rate |GBP|0.510204082
Monthly Exch Rate |HKD|5.116528947
Monthly Exch Rate |JPY|100.0250063
Monthly Exch Rate |NZD|1.100940864
Monthly Exch Rate |SGD|0.868439267
Monthly Exch Rate |USD|0.658219083
